Francis Xavier;1500;Jesuit Missionary;['mw84997.jpg'];Sitter in 1 portrait
Jerome Zanchius;1500;Italian Protestant Reformation clergyman;['mw124183.jpg', 'mw223439.jpg'];Sitter in 2 portraits
Edward la Zouche, 11th Baron Zouche;1500;Landowner;['mw128701.jpg'];Sitter in 1 portrait
Ulricus Zuinglius;1500;Swiss reformer;['mw223439.jpg'];Sitter in 1 portrait
Ulrich Zwingli;1500;Leader of the Protestant Reformation in Switzerland;['mw125435.jpg', 'mw280091.jpg', 'mw124183.jpg', 'mw116101.jpg', 'mw255697.jpg'];Sitter in 5 portraits
Sir William Waad;1500;Diplomat;['mw129338.jpg', 'mw129339.jpg', 'mw74562.jpg'];Sitter in 3 portraits
Nicholas Wadham;1500;Founder of Wadham College, Oxford;['mw129364.jpg', 'mw133746.jpg', 'mw129362.jpg', 'mw129363.jpg', 'mw14210.jpg', 'mw38881.jpg', 'mw38882.jpg'];Sitter in 7 portraits
François Quesnel;1500;Painter;['mw133578.jpg', 'mw133579.jpg'];"Sitter in 2 portraits
Artist associated with 4 portraits"
Sir Christopher Yelverton;1500;Judge;['mw39302.jpg'];Sitter in 1 portrait
Richard Tarlton;1500;Comic actor;['mw127592.jpg', 'mw40913.jpg', 'mw40914.jpg', 'mw40915.jpg', 'layout.jpg', 'layout.jpg'];"Sitter in 6 portraits


More on Richard Tarlton: Shakespeare and his contemporaries book in our Shops"
Johannes van den Driesche (Drusius);1500;Protestant Divine, Flemish Hebrew Translator;['mw127984.jpg', 'mw226610.jpg'];Sitter associated with 2 portraits
Cornelius van Dun;1500;Yeoman of the guard, founder of almshouses;['mw127427.jpg'];Sitter in 1 portrait
Emanuel van Meteren;1500;Flemish Historian and Consul for 'the Traders of the Low Countries' in London;['mw129510.jpg'];Sitter in 1 portrait
Oliver van Noort;1500;Dutch circumnavigator;['mw127354.jpg', 'mw91589.jpg'];Sitter associated with 2 portraits
Margaret Pole, Countess of Salisbury;1500;Noblewoman;['mw05579.jpg', 'mw123655.jpg'];"Sitter associated with 2 portraits
The niece of both Edward IV and Richard III, Margaret Pole was one of the last surviving members of the House of York. A member of Katherine of Aragon's household and later governess to Princess Mary, (later Mary I), Margaret openly supported Katherine and her daughter following Henry VIII's decision to annul his marriage. The Pole family's association with the pro-papal activities of Margaret's son Reginald (later cardinal) eventually led to her attainder and execution for treason. She was beatified by the Roman Catholic Church in 1886."
Robert Cecil, 1st Earl of Salisbury;1500;Statesman;['mw05580.jpg', 'mw00166.jpg', 'mw05581.jpg', 'mw81480.jpg', 'mw90451.jpg', 'mw123963.jpg', 'mw128267.jpg', 'mw128263.jpg', 'mw203729.jpg', 'mw128271.jpg', 'mw128265.jpg', 'mw128262.jpg', 'mw125604.jpg', 'mw128266.jpg', 'mw83996.jpg', 'mw128270.jpg', 'mw128257.jpg', 'mw203728.jpg', 'mw203730.jpg', 'mw146427.jpg'];"Sitter associated with 21 portraits
Robert Cecil was son of William Cecil, Lord Burghley. He was Secretary of State (1596-1608), and secured the succession of James VI of Scotland to the English throne in 1603. Created Baron, Viscount and Earl in three years (1603-5), he built Hatfield House, and died deeply in debt. King James called him his 'little beagle'; he was also known as 'the crook-backed Earl'.

More on Robert Cecil, 1st Earl of Salisbury: Tudor & Jacobean Portraits book in our Shops  

Watch a film clip on the sitter from the BBC Archive in the Media section below"
